author,text,published_at,like_count,product_name,product_brand,video_title
@Gondres-qw2kg,"bang review parfume buat kerja restoran,  wanginya Ada manis2nyaa, vanilla +cool + tahan lama",2021-11-02T15:08:16Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@azacrome,Next parfum yang nggak ada aromanya :,2021-11-02T12:00:10Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@ardibenarfa6536,Next review dari Lini Rasasi at Parfum timur tengah terbaik Broo... 🔥🔥🔥,2021-11-02T10:47:25Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@bandonsaurus9888,Bang review dong bang plis parfum Egoiste Chanel Tapi bukan yang platinum Egoiste ya bang tapi yang Egoiste Chanel aja 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,2021-11-02T10:01:05Z,1,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@indrahingkua4410,Intro kelupaan 😁,2021-11-02T08:06:39Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@ezetchannel6899,Tahun ini 100k subs yooo semangat yooo,2021-11-02T05:32:41Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@andreychandra,Muantap,2021-11-02T04:59:01Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@deniy.saputro8136,Arancia di Capri juga joss koh 😂👍,2021-11-02T04:11:22Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@racketboy-j6m,Bg request parfume yg harum cucumber dong,2021-11-02T04:02:17Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@haidarhaidir663,"Sekali2 review pengharum mobil sama rumah koh, bagus tuh keknya",2021-11-02T00:33:09Z,1,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@FadhilAnanta,Bro minta saran dong parfum yg wanginya mirip² Sf uomo signature sama parfum fresh yg rekomen tapi harganya yg masih bersahabat hehe,2021-11-02T00:17:25Z,1,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@rizkyalfathir3649,"My favorite house, awalnya gara2 Amenities di Trans Luxury Hotel itu Acqua di Parma, akhirnya nemu di Lafayette Pacific Place dan Body lotion nya jadi Signature Lotion sampe sekarang",2021-11-01T19:24:31Z,1,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@batmanwholaughs555,Amazing greatest review perfume good job keep it up amazing,2021-11-01T17:37:58Z,1,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@wildan21,kameranya pake apa ini ko? bening bgt..,2021-11-01T17:24:06Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@adesukendar6989,"Gwe kelas 500 kebawah 😁, ini chanel keren⭐⭐⭐⭐⭐",2021-11-01T16:50:55Z,1,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@adhidarmasc7569,"Kok info kisaran harga, longevity, spl dan yg lain biasanya kok kali ini ga di cantumkan lagi koh?",2021-11-01T16:24:08Z,6,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@junisusanto5308,Bang review parfum l'homme ideal extreme donk,2021-11-01T15:28:29Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@andrisetiawan4673,"Review Zara RWA dong koh, yang baru baru ini katanya udah reform",2021-11-01T14:45:38Z,2,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@miracle0072,"The best aqua di parma menurut opini pribadi Saya :
1.Arancia di Capri, Dan
2. colonia Pura.
Colonia Pura parfum yg sangat Aman daripada fico di amalfi yg bau fignya mungkin sedikit aneh bagi seorang pemula.Dari scent aqua di parma sangat berkualitas,
Tapi dari lini aqua di parma rata rata mempunyai kekuarangan yaitu spl yg cukup lemah.",2021-11-01T14:09:51Z,6,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@aga3945,"Gue banget ini. udeh mondar mandir di lini designer yg gue rasa udeh semua sama dan bikin boring. Wuling cha, tiziana  t kirke dan montabaco intensivo udeh masuk list. 🔥🤙🤞🎸🤠🌈",2021-11-01T14:05:57Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@ismailali-vi1wx,Itu bracken nya di review ko 😁,2021-11-01T13:57:08Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@kevinadhiasta7647,Susah mau jadi pemula,2021-11-01T13:50:39Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@riyantolarkarahadi23,"House of Medici itu jatuhnya niche nggak, bang?",2021-11-01T13:32:02Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@sanwygaming,Semenjak liat channel ini makin sering beli parfum 😂,2021-11-01T13:29:40Z,8,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@wolessantuy1302,Kenapa gak sekalian disertakan info spl utk masing2 parfumnya koh?,2021-11-01T13:23:57Z,1,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@indrayanto8159,Newbie menyimak,2021-11-01T13:04:11Z,0,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@busanz2835,Request parfum aroma teh,2021-11-01T12:53:45Z,1,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@GunawanGoei,Kalau harga segitu bakalan jadi racun yg menguras kantong.,2021-11-01T12:47:54Z,3,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@lubismarzhelino2013,Intronya mana bang,2021-11-01T12:45:03Z,5,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@saprindj,Kedua,2021-11-01T12:38:19Z,1,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@iqbalrizald1,"Tim decant nyimak.
Ada nada iconnya, kirain notif dering hp sendiri 😂😂😂.
Harga sudah dipatok, spl sengaja gak disebutin om?
Rata2 moderate ya lini aqua di parma ini",2021-11-01T12:38:00Z,4,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
@dailahminorakli3691,Pertama,2021-11-01T12:37:30Z,1,Colonia,acqua di parma,Top 5 Acqua di Parma Fragrances | Indonesia Parfum Review
